timestamp,level,college,buy_frequency,daily_spend,products_bought,stockout_freq,stockout_action,items_not_found,wish_vendors_sold,water_bags_per_week,bread_frequency,cooked_food_frequency,stationery_frequency,toiletries_frequency,vendor_choice_reason,stopped_buying,other_comments,daily_spend_clean,w_water,w_bread,w_food,w_stationery,w_toiletries,buy_freq_clean,stockout_freq_clean,buys_water,buys_stationery,stopped_clean,freq_num,spend_num
4/28/2026 19:47,300,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Airtime / data top-up, Printing / photocopy, Pens / pencils / writing materials, Exercise books / jotters / notebooks, Toiletries (soap, toothpaste, tissue, etc.), Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Toiletries (e.g., a specific soap or toothpaste brand), Phone accessories",Irish spring soap,15 bags,35 times a week,Twice or more daily,Every 23 weeks,Weekly,"Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor",I've thought about it,No comment,"More than ₦3,000",2,4,5,3,5,Daily,Sometimes,1,1,Considered it,5,3500
4/28/2026 19:48,300,CBSS,Every day,"More than ?3,000",Rice / beans / cooked food,Sometimes (once or twice a week),Try another vendor on campus,Specific type of bread or food,,15 bags,Rarely / never,Twice or more daily,Only at the start of semester,Rarely / never,Their food or products taste/feel better,"Yes, once",,"More than ₦3,000",2,1,5,2,1,Daily,Sometimes,0,0,Yes - once,5,3500
4/28/2026 19:49,100,CBSS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Bread, Rice / beans / cooked food, Airtime / data top-up",Rarely,Try another vendor on campus,"Toiletries (e.g., a specific soap or toothpaste brand), Medications / First aid items",,15 bags,35 times a week,Twice or more daily,Rarely / never,Monthly,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient",I've thought about it,,"₦2,001 – ₦3,000",2,4,5,1,3,Daily,Rarely,1,0,Considered it,5,2500
4/28/2026 19:50,200,CONAS,23 times a week,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Instant noodles (Indomie, etc.), Rice / beans / cooked food, Tea / Milo / beverages, Provisions (sugar, milk, etc.), Printing / photocopy, Pens / pencils / writing materials, Phone accessories (charger, earpiece, etc.)",Rarely,Ask a friend to get it for me,"Specific type of bread or food, Medications / First aid items",Some energy drinks and other types of bread,15 bags,35 times a week,A few times a week,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor, They restock quickly",No,Their price,"More than ₦3,000",2,4,3,1,1,2-3x/week,Rarely,1,1,No,3,3500
46140.82712,100,CBSS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Printing / photocopy, Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,Medications / First aid items,No,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their food or products taste/feel better, I have a relationship with the vendor","Yes, once","Well the boss should treat their workers well so the would not leave 
Like now in Elegance they don't sell alot of things again , because some of their workers have quit and now they are loosing customers","₦1,001 – ₦2,000",2,3,5,1,1,Daily,Sometimes,1,0,Yes - once,5,1500
4/28/2026 19:51,100,CBSS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Rice / beans / cooked food, Printing / photocopy, Phone accessories (charger, earpiece, etc.)",Rarely,Try another vendor on campus,Medications / First aid items,,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,Their location is more convenient,No,,"More than ₦3,000",2,3,5,1,1,Daily,Rarely,1,0,No,5,3500
46140.82821,200,CBSS,45 times a week,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Printing / photocopy, Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Phone accessories, Specific provisions (e.g., a particular seasoning or spread)",They dont sell Cadbury its a type of beverage,15 bags,Once or twice a week,Twice or more daily,Only at the start of semester,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor, They restock quickly","Yes, more than once","Some basic things are too expensive compared to the actual price of the stuff outside 
Like yeah i get that you want to make profit but what someone else is selling For 1k and youre selling it for 2k or more. Is the person that sells it for 1k not making any profit? Yes they are. Dont exploit people","₦2,001 – ₦3,000",2,3,5,2,1,4-5x/week,Sometimes,1,0,Yes - multiple times,4,2500
4/28/2026 19:54,200,CBSS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Instant noodles (Indomie, etc.), Rice / beans / cooked food",Rarely,Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Medications / First aid items",,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,Their prices are cheaper,No,Too much cost,"₦2,001 – ₦3,000",2,3,5,1,1,Daily,Rarely,1,0,No,5,2500
4/28/2026 19:54,100,CONAS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Rice / beans / cooked food, Exercise books / jotters / notebooks, Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,None  I usually find what I need,,15 bags,Once or twice a week,Once a day,Only at the start of semester,Weekly,"Their prices are cheaper, Their food or products taste/feel better",No,,"₦1,001 – ₦2,000",2,3,4,2,5,Daily,Sometimes,1,1,No,5,1500
4/28/2026 19:54,100,CONAS,Rarely,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Airtime / data top-up, Printing / photocopy,",Rarely,Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Medications / First aid items",,15 bags,Once or twice a week,Rarely / never,Only at the start of semester,Every 2 weeks,"They always have what I need in stock, Their prices are cheaper, They restock quickly",No,,"₦2,001 – ₦3,000",2,3,1,2,4,Rarely,Rarely,1,0,No,1,2500
4/28/2026 19:55,200,CBSS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Printing / photocopy, Pens / pencils / writing materials, Exercise books / jotters / notebooks, Stapler / pins / tape / scissors, Toiletries (soap, toothpaste, tissue, etc.), Phone accessories (charger, earpiece, etc.), Other (please specify below)",Frequently (several times a week),Go off campus to buy it,"Specific snack or food type (e.g., a particular brand), Cold drinks / chilled beverages, Stapler pins / office supplies, Specific type of bread or food, Toiletries (e.g., a specific soap or toothpaste brand), Medications / First aid items, Printing paper / cardboard, Phone accessories, Specific provisions (e.g., a particular seasoning or spread), None  I usually find what I need",,15 bags,35 times a week,Twice or more daily,Weekly,Monthly,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor, They restock quickly","Yes, more than once",,"More than ₦3,000",2,4,5,5,3,Daily,Frequently,1,1,Yes - multiple times,5,3500
46140.8317,100,CBSS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Printing / photocopy",Rarely,Try another vendor on campus,"Specific type of bread or food, Medications / First aid items",,15 bags,35 times a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their food or products taste/feel better",No,"Sell more varieties of food, 
Good cooking conditions 
Good attitude to customers","₦1,001 – ₦2,000",2,4,5,1,1,Daily,Rarely,1,0,No,5,1500
4/28/2026 20:00,100,CBSS,23 times a week,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food, Provisions (sugar, milk, etc.), Airtime / data top-up, Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Phone accessories, Specific provisions (e.g., a particular seasoning or spread)",,15 bags,Rarely / never,A few times a week,Rarely / never,Rarely / never,They always have what I need in stock,No,,"₦1,001 – ₦2,000",2,1,3,1,1,2-3x/week,Sometimes,1,0,No,3,1500
4/28/2026 20:01,300,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Phone accessories",,I don't buy water on campus,35 times a week,Twice or more daily,Weekly,Rarely / never,"Their prices are cheaper, Their food or products taste/feel better, I have a relationship with the vendor",No,"Price,some add their life problems on Prices","More than ₦3,000",1,4,5,5,1,Daily,Sometimes,1,0,No,5,3500
4/28/2026 20:27,200,CBSS,Every day,"?2,001  ?3,000","Instant noodles (Indomie, etc.)",Sometimes (once or twice a week),Try another vendor on campus,Specific type of bread or food,,15 bags,Once or twice a week,A few times a week,Only at the start of semester,Rarely / never,They always have what I need in stock,"Yes, more than once",The way they treat people,"₦2,001 – ₦3,000",2,3,3,2,1,Daily,Sometimes,0,0,Yes - multiple times,5,2500
4/28/2026 20:49,400,CONAS,45 times a week,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Tea / Milo / beverages, Provisions (sugar, milk, etc.), Printing / photocopy",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Medications / First aid items, Phone accessories","I've been looking for an HDMI male - Type-c male cord, but not vendor has it.",610 bags,Once or twice a week,A few times a week,Rarely / never,Rarely / never,"Their location is more convenient, I have a relationship with the vendor","Yes, more than once",The food vendors should add varieties to their menu. I think I speak for everyone on this.,"₦2,001 – ₦3,000",3,3,3,1,1,4-5x/week,Sometimes,1,0,Yes - multiple times,4,2500
4/28/2026 21:09,300,CACOS,Once a week,"?1,001  ?2,000",Rice / beans / cooked food,Rarely,Ask a friend to get it for me,Medications / First aid items,,15 bags,Rarely / never,Once a day,Rarely / never,Rarely / never,They always have what I need in stock,No,"They should reduce their price and not cheat us all because we are student, is not everyone that have money, most of us are all managing","₦1,001 – ₦2,000",2,1,4,1,1,Weekly,Rarely,0,0,No,2,1500
4/28/2026 21:21,400,CACOS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Printing / photocopy",Rarely,Go without it,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Toiletries (e.g., a specific soap or toothpaste brand), Medications / First aid items, Specific provisions (e.g., a particular seasoning or spread)",The issue is the cost,15 bags,35 times a week,Once a day,Rarely / never,Rarely / never,Their prices are cheaper,No,Not really,"More than ₦3,000",2,4,4,1,1,Daily,Rarely,1,0,No,5,3500
4/28/2026 21:38,300,CBSS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Rice / beans / cooked food, Printing / photocopy, Pens / pencils / writing materials, Toiletries (soap, toothpaste, tissue, etc.), Phone accessories (charger, earpiece, etc.)",Frequently (several times a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Phone accessories",I would like other kinds of snack,15 bags,35 times a week,Once a day,Weekly,Rarely / never,"They always have what I need in stock, I have a relationship with the vendor, They restock quickly",No,No,"₦1,001 – ₦2,000",2,4,4,5,1,Daily,Frequently,1,1,No,5,1500
4/28/2026 22:40,400,CONAS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Rice / beans / cooked food",Almost every time,Try another vendor on campus,Phone accessories,Phones and plastics. Screw drivers also. Then different types of food,15 bags,35 times a week,Once a day,Only at the start of semester,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, I have a relationship with the vendor",I've thought about it,Nope,"₦2,001 – ₦3,000",2,4,4,2,1,Daily,Very Often,1,0,Considered it,5,2500
4/28/2026 23:00,200,CONAS,45 times a week,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food",Rarely,Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Medications / First aid items, Printing paper / cardboard",,15 bags,Rarely / never,Once a day,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient","Yes, once",,"₦1,001 – ₦2,000",2,1,4,1,1,4-5x/week,Rarely,1,0,Yes - once,4,1500
4/28/2026 23:03,400,CONAS,Rarely,"More than ?3,000","Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Printing / photocopy, Exercise books / jotters / notebooks, Toiletries (soap, toothpaste, tissue, etc.), Phone accessories (charger, earpiece, etc.)",Rarely,Go off campus to buy it,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Toiletries (e.g., a specific soap or toothpaste brand), Printing paper / cardboard, Phone accessories",,I don't buy water on campus,Once or twice a week,Rarely / never,Only at the start of semester,Monthly,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better","Yes, more than once",,"More than ₦3,000",1,3,1,2,3,Rarely,Rarely,0,1,Yes - multiple times,1,3500
4/28/2026 23:05,400,CONAS,Every day,Less than ?500,"Soft drinks (Coke, Pepsi, Fanta, etc.), Rice / beans / cooked food",Rarely,Go without it,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food",No,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,Their prices are cheaper,No,They should have general prices for similar goods,Less than ₦500,2,3,5,1,1,Daily,Rarely,0,0,No,5,250
4/28/2026 23:13,100,CBSS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Instant noodles (Indomie, etc.), Rice / beans / cooked food",Rarely,Try another vendor on campus,"Specific type of bread or food, Medications / First aid items",No,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their location is more convenient, They restock quickly",No,They should try to improve themselves on customer service,"₦1,001 – ₦2,000",2,3,5,1,1,Daily,Rarely,1,0,No,5,1500
4/28/2026 23:22,400,CONAS,45 times a week,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food, Printing / photocopy, Toiletries (soap, toothpaste, tissue, etc.)",Rarely,Try another vendor on campus,"Specific provisions (e.g., a particular seasoning or spread)",Hypo for white clothes,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their location is more convenient, Their food or products taste/feel better",No,Response time should be faster,"₦2,001 – ₦3,000",2,3,5,1,1,4-5x/week,Rarely,1,0,No,4,2500
4/28/2026 23:53,300,CONAS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Rice / beans / cooked food",Rarely,Try another vendor on campus,"Toiletries (e.g., a specific soap or toothpaste brand)",RHOM SOAP,15 bags,Once or twice a week,Once a day,Rarely / never,Rarely / never,"They always have what I need in stock, Their location is more convenient",No,None for now,"₦2,001 – ₦3,000",2,3,4,1,1,Daily,Rarely,1,0,No,5,2500
4/29/2026 6:16,200,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food",Rarely,Try another vendor on campus,None  I usually find what I need,No,15 bags,35 times a week,A few times a week,Rarely / never,Rarely / never,"Their prices are cheaper, Their food or products taste/feel better","Yes, once",Nah,"More than ₦3,000",2,4,3,1,1,Daily,Rarely,1,0,Yes - once,5,3500
4/29/2026 7:22,400,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Printing / photocopy, Pens / pencils / writing materials, Toiletries (soap, toothpaste, tissue, etc.), Phone accessories (charger, earpiece, etc.), Other (please specify below)",Almost every time,Go without it,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Medications / First aid items",,610 bags,35 times a week,Twice or more daily,Every 23 weeks,Every 2 weeks,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor, They restock quickly","Yes, more than once",,"More than ₦3,000",3,4,5,3,4,Daily,Very Often,1,1,Yes - multiple times,5,3500
4/29/2026 9:49,400,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Instant noodles (Indomie, etc.), Rice / beans / cooked food",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand)",,15 bags,35 times a week,Once a day,Rarely / never,Rarely / never,Their location is more convenient,"Yes, once",Varieties,"More than ₦3,000",2,4,4,1,1,Daily,Sometimes,1,0,Yes - once,5,3500
4/29/2026 10:34,400,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food, Provisions (sugar, milk, etc.), Airtime / data top-up, Printing / photocopy, Pens / pencils / writing materials, Exercise books / jotters / notebooks, Toiletries (soap, toothpaste, tissue, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Medications / First aid items, Specific provisions (e.g., a particular seasoning or spread)",,15 bags,Once or twice a week,Twice or more daily,Only at the start of semester,Monthly,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor, They restock quickly","Yes, more than once",,"More than ₦3,000",2,3,5,2,3,Daily,Sometimes,1,1,Yes - multiple times,5,3500
4/29/2026 13:27,400,CBSS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Airtime / data top-up, Printing / photocopy",Sometimes (once or twice a week),Go off campus to buy it,"Cold drinks / chilled beverages, Specific type of bread or food",,15 bags,Once or twice a week,Once a day,Only at the start of semester,Rarely / never,Their food or products taste/feel better,I've thought about it,They should try to make product efficient for students to purchase,"₦1,001 – ₦2,000",2,3,4,2,1,Daily,Sometimes,1,0,Considered it,5,1500
46141.56137,300,CONAS,45 times a week,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food, Printing / photocopy, Pens / pencils / writing materials",Sometimes (once or twice a week),Try another vendor on campus,Specific type of bread or food,"Healthier and more robust food options apart from Rice/beans/spag & common soups, e.g Edikaikong/ banga soups, rice and veggies, breakfast options like pancakes etc, Greek yoghurt (not Cway or hollandia) and finally gift items options can be more broad",15 bags,Once or twice a week,A few times a week,Every 23 weeks,Rarely / never,"Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor, They restock quickly",No,"Better Customer Service & Relation !!! 
Plus Swift Attendace !!!","₦2,001 – ₦3,000",2,3,3,3,1,4-5x/week,Sometimes,1,1,No,4,2500
4/29/2026 13:29,200,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Rice / beans / cooked food, Printing / photocopy",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand)",Mostly properly baked cookies and sardine breads.,15 bags,35 times a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their food or products taste/feel better","Yes, once","I mistaken transfer money to a vendor in the campus, she refuses to refund and I stopped buying things from the vendor.","More than ₦3,000",2,4,5,1,1,Daily,Sometimes,1,0,Yes - once,5,3500
4/29/2026 13:43,200,CONAS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Rice / beans / cooked food",Rarely,Try another vendor on campus,Specific type of bread or food,,15 bags,Rarely / never,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better","Yes, more than once",,"₦2,001 – ₦3,000",2,1,5,1,1,Daily,Rarely,1,0,Yes - multiple times,5,2500
